# Per-epoch training curves for the four 250-epoch matched-budget arms.
# Source: SLURM stdout on the DoC NFS home, ~/msc_thesis/RoPART/in100-*-e250_<job>.out
# All ViT-B/32 @ 224, IN-100, P=32, bf16, variance balancing, 250 epochs, cosine to min_lr.
arm,job,epoch,lr,train_loss
rot_unsup,269807,1,1.01e-04,0.8786
rot_unsup,269807,2,2.01e-04,0.8015
rot_unsup,269807,3,3.00e-04,0.7566
rot_unsup,269807,4,4.00e-04,0.7269
rot_unsup,269807,5,5.00e-04,0.7027
rot_unsup,269807,6,5.00e-04,0.6585
rot_unsup,269807,7,5.00e-04,0.6162
rot_unsup,269807,8,5.00e-04,0.5817
rot_unsup,269807,9,5.00e-04,0.5479
rot_unsup,269807,10,4.99e-04,0.5200
rot_unsup,269807,11,4.99e-04,0.4942
rot_unsup,269807,12,4.99e-04,0.4735
rot_unsup,269807,13,4.99e-04,0.4541
rot_unsup,269807,14,4.98e-04,0.4396
rot_unsup,269807,15,4.98e-04,0.4230
rot_unsup,269807,16,4.98e-04,0.4098
rot_unsup,269807,17,4.97e-04,0.3977
rot_unsup,269807,18,4.97e-04,0.3854
rot_unsup,269807,19,4.96e-04,0.3779
rot_unsup,269807,20,4.95e-04,0.3667
rot_unsup,269807,21,4.95e-04,0.3576
rot_unsup,269807,22,4.94e-04,0.3491
rot_unsup,269807,23,4.94e-04,0.3402
rot_unsup,269807,24,4.93e-04,0.3332
rot_unsup,269807,25,4.92e-04,0.3280
rot_unsup,269807,26,4.91e-04,0.3218
rot_unsup,269807,27,4.90e-04,0.3177
rot_unsup,269807,28,4.89e-04,0.3099
rot_unsup,269807,29,4.88e-04,0.3062
rot_unsup,269807,30,4.88e-04,0.3003
rot_unsup,269807,31,4.87e-04,0.2953
rot_unsup,269807,32,4.85e-04,0.2900
rot_unsup,269807,33,4.84e-04,0.2854
rot_unsup,269807,34,4.83e-04,0.2845
rot_unsup,269807,35,4.82e-04,0.2795
rot_unsup,269807,36,4.81e-04,0.2738
rot_unsup,269807,37,4.80e-04,0.2701
rot_unsup,269807,38,4.78e-04,0.2672
rot_unsup,269807,39,4.77e-04,0.2635
rot_unsup,269807,40,4.76e-04,0.2620
rot_unsup,269807,41,4.74e-04,0.2572
rot_unsup,269807,42,4.73e-04,0.2550
rot_unsup,269807,43,4.71e-04,0.2512
rot_unsup,269807,44,4.70e-04,0.2492
rot_unsup,269807,45,4.68e-04,0.2475
rot_unsup,269807,46,4.67e-04,0.2440
rot_unsup,269807,47,4.65e-04,0.2409
rot_unsup,269807,48,4.64e-04,0.2391
rot_unsup,269807,49,4.62e-04,0.2368
rot_unsup,269807,50,4.60e-04,0.2337
rot_unsup,269807,51,4.59e-04,0.2320
rot_unsup,269807,52,4.57e-04,0.2288
rot_unsup,269807,53,4.55e-04,0.2284
rot_unsup,269807,54,4.53e-04,0.2250
rot_unsup,269807,55,4.51e-04,0.2235
